,DBN,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear
93,02M300,20102011,83.3,393,11.5,19.6,5.1,25.7,62.3,5.1,74.3,2010,2011
94,02M300,20112012,75.3,431,10.9,20,6,29.2,59.2,4.9,74.9,2011,2012
95,02M303,20052006,NA,114,17.5,14.9,2.6,25.4,64,3.5,63.2,2005,2006
96,02M303,20062007,NA,216,11.6,17.6,2.3,31.5,60.6,2.8,56.5,2006,2007
97,02M303,20072008,NA,320,12.8,20,3.1,32.5,61.6,1.9,53.4,2007,2008
98,02M303,20082009,NA,416,14.9,20.4,2.4,30.3,65.4,1.7,50.7,2008,2009
99,02M303,20092010,85.9,401,14.7,20.4,2,31.2,65.1,0.7,50.4,2009,2010
100,02M303,20102011,83.8,412,19.9,23.1,1.2,25.7,70.4,2.4,49.8,2010,2011
101,02M303,20112012,75.6,451,20.8,21.7,0.7,23.5,73.2,2.4,50.6,2011,2012
102,02M305,20052006,NA,82,2.4,11,6.1,39,42.7,11,53.7,2005,2006
103,02M305,20062007,NA,170,0.6,8.2,4.1,41.8,41.8,9.4,47.1,2006,2007
104,02M305,20072008,NA,253,2.4,12.3,3.6,43.9,44.7,7.5,44.3,2007,2008
105,02M305,20082009,NA,283,2.5,12,3.2,44.9,45.6,5.7,43.1,2008,2009
106,02M305,20092010,71.9,284,5.6,13.7,3.2,41.9,50,4.2,40.8,2009,2010
107,02M305,20102011,73.4,290,5.9,14.5,3.1,41.7,52.4,2.4,40.7,2010,2011
108,02M305,20112012,68.3,312,6.1,17,3.8,41.7,50.6,3.5,43.9,2011,2012
109,02M308,20052006,NA,83,1.2,16.9,8.4,47,36.1,3.6,44.6,2005,2006
110,02M308,20062007,NA,162,1.9,17.3,4.9,34.6,49.4,8,45.7,2006,2007
111,02M308,20072008,NA,241,3.3,20.7,5,33.2,52.3,7.1,39.4,2007,2008
112,02M308,20082009,NA,296,4.7,22,7.8,34.5,51,5.7,39.5,2008,2009
113,02M308,20092010,75.6,311,4.8,26,8.4,31.8,51.1,4.8,39.2,2009,2010
114,02M308,20102011,77,324,5.2,27.2,9.6,30.9,55.2,3.4,41.4,2010,2011
115,02M308,20112012,62.2,336,3.9,24.7,9.5,30.7,55.7,3.6,39.9,2011,2012
116,02M313,20052006,NA,83,4.8,7.2,2.4,41,44.6,8.4,42.2,2005,2006
117,02M313,20062007,NA,124,6.5,11.3,3.2,44.4,41.9,7.3,42.7,2006,2007
118,02M313,20072008,NA,206,5.3,13.6,4.9,41.3,37.9,13.1,47.6,2007,2008
119,02M313,20082009,NA,247,5.3,16.6,3.2,38.5,47.4,9.3,51.4,2008,2009
120,02M313,20092010,58.9,247,5.3,16.2,3.2,35.6,51.4,7.7,53,2009,2010
121,02M313,20102011,55.7,253,5.5,14.6,3.2,34,54.2,7.1,54.9,2010,2011
122,02M313,20112012,51,248,4.8,12.9,4,34.3,54.4,6.5,52.4,2011,2012
123,02M316,20052006,NA,107,0.9,10.3,0.9,24.3,63.6,2.8,0,2005,2006
124,02M316,20062007,NA,206,3.9,8.3,3.4,35,53.9,1.5,0,2006,2007
125,02M316,20072008,NA,292,5.8,15.1,2.7,36.3,53.4,1,0,2007,2008
126,02M316,20082009,NA,336,4.8,14,2.7,41.7,53,1.5,0,2008,2009
127,02M316,20092010,77.8,350,5.7,18.3,2.3,42.3,53.1,1.4,0,2009,2010
128,02M316,20102011,86.7,369,4.3,19,2.4,43.6,49.6,1.4,0,2010,2011
129,02M316,20112012,74.9,378,2.6,15.6,3.4,46.8,48.4,1.3,0,2011,2012
130,02M374,20082009,NA,383,4.4,11,0.8,50.4,44.6,3.7,37.6,2008,2009
131,02M374,20092010,67.6,400,3.3,10.3,2.3,45.5,43.8,6,34.8,2009,2010
132,02M374,20102011,66.9,461,2.8,11.7,2.4,46.9,42.7,7.2,30.2,2010,2011
133,02M374,20112012,59,495,3,12.3,2.8,45.3,45.1,6.7,26.3,2011,2012
134,02M376,20082009,NA,100,0,6,10,28,40,21,41,2008,2009
135,02M376,20092010,50,200,0,4.5,10,22.5,39.5,24,42.5,2009,2010
136,02M376,20102011,44.7,318,NA,9.1,11.6,20.4,44.7,23,47.5,2010,2011
137,02M376,20112012,34.6,433,0.5,10.9,11.5,20.6,43,24,48.7,2011,2012
138,02M392,20092010,60,122,7.4,14.8,9,27,51.6,5.7,47.5,2009,2010
139,02M392,20102011,74.6,212,6.6,16,7.5,32.1,52.4,7.5,54.7,2010,2011
140,02M392,20112012,64,332,9.9,13.9,6.6,29.5,58.7,4.8,59,2011,2012
141,02M393,20092010,60,103,8.7,22.3,3.9,32,56.3,6.8,86.4,2009,2010
142,02M393,20102011,83.5,210,11,24.8,3.3,35.2,57.1,3.8,73.8,2010,2011
143,02M393,20112012,58.7,304,7.6,21.4,1.6,35.5,57.2,4.3,72.4,2011,2012
144,02M394,20102011,100,235,86,0,60.4,5.5,31.1,3,52.3,2010,2011
145,02M394,20112012,97,250,82.8,0,62.4,7.2,26.4,4,51.2,2011,2012
146,02M399,20092010,60,100,36,13,43,15,34,6,49,2009,2010
147,02M399,20102011,85,159,32.1,18.2,42.8,13.8,35.2,4.4,50.3,2010,2011
148,02M399,20112012,80.8,244,28.3,16.8,44.3,15.6,32.8,5.3,48,2011,2012
149,02M400,20052006,NA,1474,5.2,9.3,16.1,21.6,40.9,17.2,47.6,2005,2006
150,02M400,20062007,NA,1447,3.9,10.6,16.9,23.1,43.7,15.3,49,2006,2007
151,02M400,20072008,NA,1460,6.3,10.5,16.8,21.6,46.9,12.7,47.8,2007,2008
152,02M400,20082009,NA,1491,5.5,11.3,16.9,19.5,51,12.3,49.4,2008,2009
153,02M400,20092010,58.2,1418,5.9,11.4,15.7,17.3,54.4,12.3,48.7,2009,2010
154,02M400,20102011,55.9,1429,7.4,12.9,16.1,15,56.2,12.6,49.5,2010,2011
155,02M400,20112012,56.4,1394,7.1,14.4,16.7,14.8,57.2,11.1,50.4,2011,2012
156,02M407,20052006,NA,421,0,7.6,7.4,24,24.2,43.2,52.7,2005,2006
157,02M407,20062007,NA,411,0.5,5.6,7.8,21.2,26,43.8,52.1,2006,2007
158,02M407,20072008,NA,407,0.7,7.9,7.4,22.1,25.8,44,49.6,2007,2008
159,02M407,20082009,NA,439,0.7,9.3,9.6,20.5,22.1,46,52.6,2008,2009
160,02M407,20092010,22.9,485,0.8,10.3,9.3,18.4,21.4,50.5,51.3,2009,2010
161,02M407,20102011,15.4,493,0.2,8.7,5.3,9.5,20.7,50.5,52.3,2010,2011
162,02M407,20112012,17.9,489,0.4,8.8,6.3,10.2,17.6,54.6,55.2,2011,2012
163,02M408,20052006,NA,420,0.5,4.5,3.8,24.3,17.9,46,27.4,2005,2006
164,02M408,20062007,NA,404,0.2,6.9,3.7,23,15.6,45.3,28.5,2006,2007
165,02M408,20072008,NA,428,0.2,6.1,3,29,19.2,48.6,28.7,2007,2008
166,02M408,20082009,NA,449,0.2,4,3.8,28.1,18,47.7,26.5,2008,2009
167,02M408,20092010,21.4,467,1.5,3.6,6,28.5,18.6,42.4,26.8,2009,2010
168,02M408,20102011,27.8,495,1.8,3,5.5,20.6,29.7,37,26.5,2010,2011
169,02M408,20112012,23.5,502,2,3.2,7,19.1,23.7,41.8,25.3,2011,2012
170,02M411,20052006,NA,409,1.2,1.5,56.7,6.8,9.5,25.9,35.7,2005,2006
171,02M411,20062007,NA,413,0.2,2.4,59.6,5.8,10.7,22.8,38,2006,2007
172,02M411,20072008,NA,416,NA,2.4,60.6,6.5,11.1,21.6,38,2007,2008
173,02M411,20082009,NA,419,0,1.9,58,7.6,10.7,23.4,38.9,2008,2009
174,02M411,20092010,59.2,440,0.2,2.5,58.4,6.1,11.6,23.2,41.8,2009,2010
175,02M411,20102011,62.2,438,1.1,2.1,60.5,6.6,11.4,21.5,42.5,2010,2011
176,02M411,20112012,54.6,432,1.6,2.3,60.6,5.8,14.6,18.8,44,2011,2012
177,02M412,20052006,NA,429,0,6.5,26.1,6.5,10.5,55.9,41.5,2005,2006
178,02M412,20062007,NA,472,0.4,10.6,25.2,10.2,11.2,51.1,44.3,2006,2007
179,02M412,20072008,NA,518,1,13.1,28,9.8,12.9,47.7,48.8,2007,2008
180,02M412,20082009,NA,536,0.2,14.9,28.4,9.3,14.2,46.8,48.9,2008,2009
181,02M412,20092010,20.2,520,0.6,15.8,29.2,9,13.3,46.2,50.2,2009,2010
182,02M412,20102011,23.8,524,1.1,12.8,27.7,8,14.3,49.2,48.9,2010,2011
183,02M419,20062007,NA,431,4.2,17.6,2.6,31.6,60.3,3.9,49.7,2006,2007
184,02M412,20112012,21.6,579,1.6,15,29.4,8.5,14,45.9,47,2011,2012
185,02M413,20052006,NA,672,0.6,13.8,15.6,23.1,25.1,35.3,48.1,2005,2006
186,02M413,20062007,NA,697,0.4,16.5,15.2,23,28,32.4,48.2,2006,2007
187,02M413,20072008,NA,684,0.6,17.4,13.6,23.4,28.8,34.1,45.5,2007,2008
188,02M413,20082009,NA,687,0.6,16.4,15.3,22.6,28.1,33.3,46.6,2008,2009
189,02M413,20092010,35.5,689,1.2,16,18,20.2,26.4,34,48.2,2009,2010
190,02M413,20102011,41.4,676,0.9,16,15.5,13.2,26.3,39.1,49.7,2010,2011
191,02M413,20112012,31,673,2.1,14.6,16,12.3,26,38,50.8,2011,2012
192,02M414,20052006,NA,387,0.8,9.3,11.4,26.9,40.6,18.6,46.8,2005,2006
193,02M414,20062007,NA,380,0.3,10.5,12.6,22.1,43.9,20.5,47.4,2006,2007
194,02M414,20072008,NA,422,1.4,11.4,19.9,19.9,39.8,20.1,48.8,2007,2008
195,02M414,20082009,NA,442,1.4,11.1,24.7,19,38.2,17.4,47.5,2008,2009
196,02M414,20092010,47.4,467,1.1,11.8,27.6,16.1,37.5,17.6,45.4,2009,2010
