,DBN,school_name,Borough,lat_long,lat,long
228,21K620,William E. Grady Career and Technical Education High School,Brooklyn,"(40.582548038, -73.963716221)",40.58254804,-73.96371622
229,19K639,Brooklyn Lab School,Brooklyn,"(40.691143962, -73.868426057)",40.69114396,-73.86842606
230,13K430,Brooklyn Technical High School,Brooklyn,"(40.688107423, -73.976745072)",40.68810742,-73.97674507
231,02M425,Leadership and Public Service High School,Manhattan,"(40.709146539, -74.012076627)",40.70914654,-74.01207663
232,07X547,New Explorers High School,Bronx,"(40.82277649, -73.923522794)",40.82277649,-73.92352279
233,02M630,Art and Design High School,Manhattan,"(40.765401541, -73.981768246)",40.76540154,-73.98176825
234,02M605,Humanities Preparatory Academy,Manhattan,"(40.742888101, -74.002127381)",40.7428881,-74.00212738
235,18K633,High School for Medical Professions,Brooklyn,"(40.641844268, -73.898687291)",40.64184427,-73.89868729
236,08X559,School for Tourism and Hospitality,Bronx,"(40.821887341, -73.903438055)",40.82188734,-73.90343806
237,13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",Brooklyn,"(40.697174727, -73.984959689)",40.69717473,-73.98495969
238,02M600,The High School of Fashion Industries,Manhattan,"(40.745111571, -73.99590642)",40.74511157,-73.99590642
239,02M500,Unity Center for Urban Technologies,Manhattan,"(40.746106375, -73.981009667)",40.74610638,-73.98100967
240,12X550,High School of World Cultures,Bronx,"(40.83136649, -73.878823277)",40.83136649,-73.87882328
241,12X692,Monroe Academy for Visual Arts & Design,Bronx,"(40.83136649, -73.878823277)",40.83136649,-73.87882328
242,17K590,Medgar Evers College Preparatory School,Brooklyn,"(40.667162082, -73.950857955)",40.66716208,-73.95085796
243,10X549,Discovery High School,Bronx,"(40.870377467, -73.898162952)",40.87037747,-73.89816295
244,03M492,"High School for Law, Advocacy and Community Justice",Manhattan,"(40.774296411, -73.984822701)",40.77429641,-73.9848227
245,22K535,Leon M. Goldstein High School for the Sciences,Brooklyn,"(40.580847136001, -73.936088569)",40.58084714,-73.93608857
