,DBN,School_Name,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,Borough
68,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,1424,20112012,17.9,489,0.4,8.8,6.3,10.2,17.6,54.6,55.2,Manhattan
69,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,1522,20092010,21.4,467,1.5,3.6,6,28.5,18.6,42.4,26.8,Manhattan
70,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,1522,20102011,27.8,495,1.8,3,5.5,20.6,29.7,37,26.5,Manhattan
71,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,1522,20112012,23.5,502,2,3.2,7,19.1,23.7,41.8,25.3,Manhattan
72,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,1577,20092010,59.2,440,0.2,2.5,58.4,6.1,11.6,23.2,41.8,Manhattan
73,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,1577,20102011,62.2,438,1.1,2.1,60.5,6.6,11.4,21.5,42.5,Manhattan
74,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,1577,20112012,54.6,432,1.6,2.3,60.6,5.8,14.6,18.8,44,Manhattan
75,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,1677,20092010,20.2,520,0.6,15.8,29.2,9,13.3,46.2,50.2,Manhattan
76,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,1677,20102011,23.8,524,1.1,12.8,27.7,8,14.3,49.2,48.9,Manhattan
77,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,1677,20112012,21.6,579,1.6,15,29.4,8.5,14,45.9,47,Manhattan
78,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,1565,20092010,35.5,689,1.2,16,18,20.2,26.4,34,48.2,Manhattan
79,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,1565,20102011,41.4,676,0.9,16,15.5,13.2,26.3,39.1,49.7,Manhattan
80,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,1565,20112012,31,673,2.1,14.6,16,12.3,26,38,50.8,Manhattan
81,02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1419,20092010,47.4,467,1.1,11.8,27.6,16.1,37.5,17.6,45.4,Manhattan
82,02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1419,20102011,47.4,440,0.9,11.1,33.4,14.1,35.9,16.4,42.7,Manhattan
83,02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1419,20112012,51.6,436,0.5,9.4,33,11.7,39.9,15.4,42.4,Manhattan
84,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,1758,20092010,26.7,498,0.6,2.2,18.1,8.2,9.8,61.2,35.9,Manhattan
85,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,1758,20102011,16.7,499,0.2,2.2,19.6,7.4,10,62.5,33.3,Manhattan
86,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,1758,20112012,15.8,507,0.2,1.2,17.2,5.5,11.6,63.7,32.5,Manhattan
87,02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,1614,20092010,44.8,619,0.2,8.9,28.3,12,22.1,35.2,35.4,Manhattan
88,02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,1614,20102011,44.8,637,0,8.9,28.3,9.3,24.8,37.2,37.8,Manhattan
89,02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,1614,20112012,32.7,626,0.2,9.1,30,8.8,21.7,35.9,38.2,Manhattan
90,02M419,LANDMARK HIGH SCHOOL,62,390,399,381,1170,20092010,82.7,452,12.6,14.2,0.9,21.7,74.6,2,45.8,Manhattan
91,02M419,LANDMARK HIGH SCHOOL,62,390,399,381,1170,20102011,85.1,442,14.9,14.7,4.1,17.9,76.2,1.6,44.3,Manhattan
92,02M419,LANDMARK HIGH SCHOOL,62,390,399,381,1170,20112012,83.1,421,15.7,18.8,5.2,18.1,74.8,1.9,48.5,Manhattan
93,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,1306,20092010,81.4,1695,4,7.9,18.9,23.7,50.7,5.3,28.3,Manhattan
94,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,1306,20102011,81.4,1721,4.4,9.7,19.5,24.4,50.6,5.3,29.2,Manhattan
95,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,1306,20112012,68,1768,4,10.9,20.5,24.4,49.7,5.3,29.4,Manhattan
96,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,1233,20092010,85.5,646,4.2,16.1,9.3,30.8,51.7,6.3,48.8,Manhattan
97,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,1233,20102011,80.4,646,5.3,16.7,8.5,29.4,54.2,7.6,46.6,Manhattan
98,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,1233,20112012,74.2,607,5.4,18.6,8.1,30.5,54.2,6.6,46.1,Manhattan
99,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,1062,20092010,82.5,394,6.9,18.8,2.5,46.2,47.7,2.5,45.4,Manhattan
100,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,1062,20102011,86.5,354,7.6,24.3,1.1,45.2,52.8,0.3,47.7,Manhattan
101,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,1062,20112012,93.9,294,8.2,22.4,1.4,45.2,51.4,1.7,49,Manhattan
102,02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,1372,20092010,76,449,3.6,10,6.5,25.2,61.7,5.6,38.1,Manhattan
103,02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,1372,20102011,79.1,433,3.5,8.5,7.2,22.2,66.1,4.4,39.7,Manhattan
104,02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,1372,20112012,60.3,429,3.7,8.2,6.3,16.8,71.8,4.9,38.5,Manhattan
105,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,1111,20092010,64.1,992,25.9,12.5,7.9,28,60.4,2.4,49.6,Manhattan
106,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,1111,20102011,73.4,488,28.3,13.9,9,26.4,61.3,2.9,54.5,Manhattan
