DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,avg_class_size,avg_largest_class,avg_smallest_class,Borough,lat_long,lat,long,Total Grads - % of cohort,Dropped Out - % of cohort,exams_per_student,high_score_percent
02M425,H S FOR LEADERSHIP & PUBLIC,70,84,32,20112012,74.2,607,5.4,18.6,8.1,30.5,54.2,6.6,46.1,2011,2012,84,416,426,391,1233,27.97333333,31.86666667,22.66666667,Manhattan,"(40.709146539, -74.012076627)",40.70914654,-74.01207663,54.2,16,1.2,38.095238095238095
02M439,MANHATTAN VILLAGE ACADEMY HS,42,69,29,20092010,76,449,3.6,10,6.5,25.2,61.7,5.6,38.1,2009,2010,95,441,473,458,1372,21.35625,23.5,19.3125,Manhattan,"(40.741494699001, -73.991445053)",40.7414947,-73.99144505,98.2,0,1.6428571428571428,42.028985507246375
02M439,MANHATTAN VILLAGE ACADEMY HS,42,69,29,20102011,79.1,433,3.5,8.5,7.2,22.2,66.1,4.4,39.7,2010,2011,95,441,473,458,1372,21.35625,23.5,19.3125,Manhattan,"(40.741494699001, -73.991445053)",40.7414947,-73.99144505,98.2,0,1.6428571428571428,42.028985507246375
02M439,MANHATTAN VILLAGE ACADEMY HS,42,69,29,20112012,60.3,429,3.7,8.2,6.3,16.8,71.8,4.9,38.5,2011,2012,95,441,473,458,1372,21.35625,23.5,19.3125,Manhattan,"(40.741494699001, -73.991445053)",40.7414947,-73.99144505,98.2,0,1.6428571428571428,42.028985507246375
02M459,CES-MANHATTAN INTERNATIONAL,12,12,6,20092010,94.4,309,67,1,24.3,17.5,41.4,16.2,49.2,2009,2010,49,376,460,391,1227,20.31176471,22.47058824,17.17647059,Manhattan,"(40.765445402, -73.960213786)",40.7654454,-73.96021379,55.1,7.2,1,50
02M459,CES-MANHATTAN INTERNATIONAL,12,12,6,20102011,90.5,320,73.8,0.6,33.4,14.7,36.9,15,48.8,2010,2011,49,376,460,391,1227,20.31176471,22.47058824,17.17647059,Manhattan,"(40.765445402, -73.960213786)",40.7654454,-73.96021379,55.1,7.2,1,50
02M459,CES-MANHATTAN INTERNATIONAL,12,12,6,20112012,80.7,325,77.5,0.3,33.5,14.8,36.9,14.5,44.3,2011,2012,49,376,460,391,1227,20.31176471,22.47058824,17.17647059,Manhattan,"(40.765445402, -73.960213786)",40.7654454,-73.96021379,55.1,7.2,1,50
02M475,STUYVESANT HS,1510,2819,2648,20092010,36.7,3277,0,0.4,69.3,1.8,2.8,25.8,58.3,2009,2010,832,679,735,682,2096,31.11578947,33.84210526,24.10526316,Manhattan,"(40.717746415, -74.014049043)",40.71774642,-74.01404904,98.3,0.4,1.866887417218543,93.93401915572899
02M475,STUYVESANT HS,1510,2819,2648,20102011,41.3,3287,0,0.3,71.6,1.2,2.9,24.1,58.8,2010,2011,832,679,735,682,2096,31.11578947,33.84210526,24.10526316,Manhattan,"(40.717746415, -74.014049043)",40.71774642,-74.01404904,98.3,0.4,1.866887417218543,93.93401915572899
02M475,STUYVESANT HS,1510,2819,2648,20112012,30.3,3297,0,0.4,72.1,1.2,2.4,23.7,59.3,2011,2012,832,679,735,682,2096,31.11578947,33.84210526,24.10526316,Manhattan,"(40.717746415, -74.014049043)",40.71774642,-74.01404904,98.3,0.4,1.866887417218543,93.93401915572899
