,DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
318,22K405,MIDWOOD HIGH SCHOOL,86.8,1.6
319,22K425,JAMES MADISON HIGH SCHOOL,66.3,13.8
320,22K495,SHEEPSHEAD BAY HIGH SCHOOL,57.9,21.8
321,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,96.4,2.4
322,22K555,BROOKLYN COLLEGE ACADEMY,95.8,0
323,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,62.9,7.1
324,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,70.7,6.5
325,23K643,BROOKLYN DEMOCRACY ACADEMY,26.8,11.3
326,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,55.9,15.1
327,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,13.7,29.1
328,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,22.7,16.5
329,23K697,TEACHERS PREPARATORY HIGH SCHOOL,72.7,3
330,24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,90,2.2
331,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,80.2,3
332,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,NA,NA
333,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,96,0
334,24Q455,NEWTOWN HIGH SCHOOL,49.4,16.2
335,24Q485,GROVER CLEVELAND HIGH SCHOOL,54.2,17.1
336,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,70.2,10.6
337,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,48.4,8.1
338,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,67.4,9.1
339,24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,62.1,4.2
340,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,70.8,10.7
341,24Q610,AVIATION CAREER & TECHNICAL EDUCATION,74.5,1.4
342,24Q744,VOYAGES PREPARATORY,11.8,11.8
343,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,59.3,10.5
344,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,85.3,0
345,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,86.6,1.2
346,25Q425,JOHN BOWNE HIGH SCHOOL,56.1,20.6
347,25Q460,FLUSHING HIGH SCHOOL,56.5,20.7
348,25Q525,TOWNSEND HARRIS HIGH SCHOOL,100,0
349,25Q540,QUEENS ACADEMY HIGH SCHOOL,22,10.6
350,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,56.6,8.2
351,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,19.4,11.3
352,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,80.1,4.5
353,26Q430,FRANCIS LEWIS HIGH SCHOOL,74.2,5.1
354,26Q435,MARTIN VAN BUREN HIGH SCHOOL,62.8,8.5
355,26Q495,BAYSIDE HIGH SCHOOL,80.2,6.4
356,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,83.6,3.2
357,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,71.6,4.2
358,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,94.4,0
359,27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,NA,NA
360,27Q400,AUGUST MARTIN HIGH SCHOOL,53.5,16.7
361,27Q410,BEACH CHANNEL HIGH SCHOOL,48.6,15.7
362,27Q465,FAR ROCKAWAY HIGH SCHOOL,40.2,36
363,27Q475,RICHMOND HILL HIGH SCHOOL,52,19.8
364,27Q480,JOHN ADAMS HIGH SCHOOL,56.9,17.6
