"","DBN","SchoolName","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","StartingYear","EndingYear","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score"
"56","02M520","MURRY BERGTRAUM H.S.",118,157,76,20112012,72.7,2073,10.2,14.1,10.5,39.9,46.6,2.3,49.1,2011,2012,264,407,440,393,1240
"57","02M529","JACQUELINE K. ONASSIS HS",80,118,29,20092010,65.8,707,7.9,14.6,5.5,24.3,66.9,3,37.6,2009,2010,131,414,425,400,1239
"58","02M529","JACQUELINE K. ONASSIS HS",80,118,29,20102011,76.6,709,10.4,16.6,5.2,22.4,69.3,2.8,37,2010,2011,131,414,425,400,1239
"59","02M529","JACQUELINE K. ONASSIS HS",80,118,29,20112012,73,724,9.8,13.7,5.1,22.7,69.9,1.8,40.6,2011,2012,131,414,425,400,1239
"60","02M542","Manhattan Bridges High School",67,102,59,20092010,93.8,509,81.7,1,0,0,100,0,53.8,2009,2010,66,336,378,344,1058
"61","02M542","Manhattan Bridges High School",67,102,59,20102011,93.8,539,77.9,1.5,0,0,99.8,0,50.1,2010,2011,66,336,378,344,1058
"62","02M542","Manhattan Bridges High School",67,102,59,20112012,83.5,541,72.6,1.7,0.2,0,99.8,0,51.4,2011,2012,66,336,378,344,1058
"63","02M545","High School for Dual Language and Asian Studies",61,96,89,20092010,91.3,324,54,1.5,87,6.8,3.7,1.9,55.6,2009,2010,78,412,581,431,1424
"64","02M545","High School for Dual Language and Asian Studies",61,96,89,20102011,91.3,339,44.2,1.2,86.4,6.5,2.9,2.9,52.2,2010,2011,78,412,581,431,1424
"65","02M545","High School for Dual Language and Asian Studies",61,96,89,20112012,82.6,353,38.2,2.3,89.5,3.4,4,2.3,51.3,2011,2012,78,412,581,431,1424
"66","02M575","MANHATTAN COMP.NIGHT H.S.",58,100,61,20092010,92,862,65.4,2.9,33.2,33.5,27.4,4.8,57.8,2009,2010,121,345,517,343,1205
"67","02M580","R.R.GREEN HS OF TEACHING",67,117,40,20092010,75.2,614,5.7,16.3,3.4,35.3,57,2,29.5,2009,2010,84,408,384,403,1195
"68","02M580","R.R.GREEN HS OF TEACHING",67,117,40,20102011,76,608,6.4,18.8,3.6,37.5,55.3,2.8,30.1,2010,2011,84,408,384,403,1195
