,DBN,SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class
220,10X390,M.S. 390,29,29,29
221,10X391,The Angelo Patri Middle School,19,19,19
222,10X397,English Language Learners and International Support Preparatory Academy (ELLIS),17.94,21.4,14.5
223,10X399,M.S. 399,28,28,28
224,10X433,High School for Teaching and the Professions,20.8,24.3125,16.25
225,10X434,Belmont Preparatory High School,22.36,27.66666667,17.13333333
226,10X437,Fordham High School for the Arts,22.88823529,26.47058824,18.82352941
227,10X438,Fordham Leadership Academy for Business and Technology,21.35625,25,17.4375
228,10X439,Bronx High School for Law and Community Service,21.72941176,25.58823529,16.88235294
229,10X440,DeWitt Clinton High School,26.05263158,32.31578947,14.63157895
230,10X442,"Celia Cruz Bronx High School of Music, The",23.26111111,26.66666667,19.38888889
231,10X445,Bronx High School of Science,31.16315789,34.21052632,23.36842105
232,10X459,EAST FORDHAM ACADEMY FOR THE ARTS,28.2,32,25
233,10X475,John F. Kennedy High School,25.19375,29.875,18.5
234,10X477,Marble Hill High School for International Studies,23.15882353,28.11764706,16.23529412
235,10X546,Bronx Theatre High School,24.12307692,31.07692308,17.23076923
236,10X549,Discovery High School,23.85384615,29.61538462,17.76923077
237,10X660,Grace Dodge Career and Technical Education High School,25.35,31,15.6875
238,10X696,High School of American Studies at Lehman College,22.18947368,25.42105263,18.42105263
239,11X083,P.S. 083 Donald Hertz,31.3,33,29
240,11X180,M.S. 180 Dr. Daniel Hale Williams,14.3,15,14
241,11X249,Bronx Health Sciences High School,22.67142857,29.21428571,16.64285714
242,11X253,Bronx High School for Writing and Communication Arts,23.66,29.2,17.66666667
243,11X265,Bronx Lab School,22.07857143,25.78571429,18.14285714
244,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,28.15714286,32.35714286,24.71428571
245,11X275,High School of Computers and Technology,28.3,31.9,23.8
246,11X288,Collegiate Institute for Math and Science,24.11764706,29.11764706,18.52941176
247,11X290,Bronx Academy of Health Careers,27.10625,31.8125,22.1875
