,DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,exams_per_student,high_score_percent
209,24Q610,AVIATION CAREER & TECHNICAL H.S.,130,140,61,1.076923077,43.57142857
210,25Q285,World Journalism Preparatory: A College Board Scho,65,87,18,1.338461538,20.68965517
211,25Q425,JOHN BOWNE HS,176,229,116,1.301136364,50.65502183
212,25Q460,FLUSHING HS,324,424,136,1.308641975,32.0754717
213,25Q525,TOWNSEND HARRIS HS,613,796,625,1.298531811,78.51758794
214,25Q670,R F KENNEDY COLLABORATIVE H S,77,112,43,1.454545455,38.39285714
215,26Q415,BENJAMIN N. CARDOZO,676,1145,796,1.693786982,69.51965066
216,26Q430,FRANCIS LEWIS HS,697,1033,583,1.482065997,56.4375605
217,26Q435,MARTIN VAN BUREN HS,71,101,15,1.422535211,14.85148515
218,26Q495,BAYSIDE HS,480,686,413,1.429166667,60.20408163
219,26Q566,"Queens High School of Teaching, Liberal Arts and t",NA,NA,NA,NA,NA
220,27Q262,Channel View School for Research,43,69,18,1.604651163,26.08695652
221,27Q323,Scholars' Academy,55,121,57,2.2,47.10743802
222,27Q400,AUGUST MARTIN HS,19,28,NA,1.473684211,NA
223,27Q475,RICHMOND HILL HS,142,170,55,1.197183099,32.35294118
224,27Q480,JOHN ADAMS HS,140,168,33,1.2,19.64285714
225,27Q650,"High School for Construction Trades, Engineering a",91,109,21,1.197802198,19.26605505
226,28Q440,FOREST HILLS HS,733,1116,526,1.522510232,47.13261649
227,28Q470,JAMAICA HS,64,76,8,1.1875,10.52631579
228,28Q505,HILLCREST HS,241,362,50,1.502074689,13.8121547
229,28Q620,THOS A EDISON VHS,183,244,100,1.333333333,40.98360656
230,28Q680,GATEWAY TO HEALTH SCIENCES,89,136,57,1.528089888,41.91176471
231,28Q687,Queens HS for Science York Colllege,215,338,275,1.572093023,81.36094675
232,28Q690,High School for Law Enforcement and Public Safety,19,19,NA,1,NA
233,28Q896,"Young  Women's Leadership School, Queens",6,6,NA,1,NA
234,29Q248,Queens Preparatory Academy,15,15,NA,1,NA
235,29Q259,Pathways College Preparatory School: A College Boa,29,71,NA,2.448275862,NA
236,29Q272,George Washington Carver High School for the Scien,14,21,NA,1.5,NA
237,29Q283,Preparatory Academy for Writers,40,43,NA,1.075,NA
238,29Q420,SPRINGFIELD GARDENS HS,NA,NA,NA,NA,NA
239,29Q492,MATH/SCIENCE RESEARCH TECH CTR,22,31,8,1.409090909,25.80645161
240,29Q496,BUSINESS/COMPUTER APPLICATIONS,NA,NA,NA,NA,NA
241,30Q445,WM CULLEN BRYANT HS,243,330,97,1.358024691,29.39393939
242,30Q450,LONG ISLAND CITY HS,406,805,169,1.982758621,20.99378882
243,30Q501,FRANK SINATRA HIGH SCHOOL,108,136,38,1.259259259,27.94117647
244,30Q502,INFORMATION TECHNOLOGY HS,51,74,13,1.450980392,17.56756757
245,30Q555,NEWCOMERS HS:ACAD AMER STD,119,163,140,1.369747899,85.88957055
246,30Q575,ACADEMY OF AMER. STUDIES HS,101,170,119,1.683168317,70
247,31R080,PS 080 MICHAEL J. PETRIDES,162,243,66,1.5,27.16049383
248,31R440,NEW DORP HS,96,118,62,1.229166667,52.54237288
249,31R445,PORT RICHMOND HS,194,304,76,1.567010309,25
250,31R450,CURTIS HS,247,295,90,1.194331984,30.50847458
251,31R455,TOTTENVILLE HS,396,687,206,1.734848485,29.98544396
252,31R460,SUSAN E. WAGNER HS,279,408,175,1.462365591,42.89215686
253,31R600,RAPLH MCKEE VHS,NA,NA,NA,NA,NA
254,31R605,STATEN ISLAND TECHNICAL HS,528,905,809,1.714015152,89.39226519
255,32K545,EBC-HS FOR PUB SERVICE (BUSH),47,64,13,1.361702128,20.3125
256,32K552,Academy of Urban Planning,76,100,10,1.315789474,10
257,32K554,All City Leadership Secondary School,7,8,NA,1.142857143,NA
258,32K556,Bushwick Leaders High School for Academic Excellen,34,35,18,1.029411765,51.42857143
