"","DBN","School_Name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","Borough","lat_long","lat","long"
"44","01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,20102011,81.3,202,4,6.9,2.5,43.1,49,5,46,NA,NA,NA,NA
"45","01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,20112012,69.8,218,3.2,6.9,0.5,45.4,49.5,4.1,39.9,NA,NA,NA,NA
"46","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,20052006,NA,513,0.2,0.2,12.3,19.9,18.7,36.1,25.1,"Manhattan","(40.718961617, -73.976066021)",40.718961617,-73.976066021
"47","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,20062007,NA,546,0,0.2,10.8,18.3,17.6,37.5,28.2,"Manhattan","(40.718961617, -73.976066021)",40.718961617,-73.976066021
"48","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,20072008,NA,543,0,0.2,10.7,17.5,17.1,37.6,31.3,"Manhattan","(40.718961617, -73.976066021)",40.718961617,-73.976066021
"49","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,20082009,NA,575,0,0.5,13.2,17.7,18.8,41.6,33,"Manhattan","(40.718961617, -73.976066021)",40.718961617,-73.976066021
"50","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,20092010,25.4,584,NA,0.5,12.7,16.1,17.1,44.2,33.9,"Manhattan","(40.718961617, -73.976066021)",40.718961617,-73.976066021
"51","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,20102011,22.6,588,0.3,0.7,14.8,14.3,16.2,53.2,31.8,"Manhattan","(40.718961617, -73.976066021)",40.718961617,-73.976066021
"52","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,20112012,18,617,0.2,0.8,15.1,15.1,18.2,49.8,31.3,"Manhattan","(40.718961617, -73.976066021)",40.718961617,-73.976066021
"53","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,20052006,NA,166,1.2,45.8,5.4,25.3,56.6,11.4,49.4,"Manhattan","(40.738599087, -73.982511911)",40.738599087,-73.982511911
"54","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,20062007,NA,212,1.9,44.3,4.2,25.5,55.2,13.2,41,"Manhattan","(40.738599087, -73.982511911)",40.738599087,-73.982511911
"55","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,20072008,NA,211,2.4,35.5,4.3,33.6,50.7,10.9,34.6,"Manhattan","(40.738599087, -73.982511911)",40.738599087,-73.982511911
"56","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,20082009,NA,183,1.6,29.5,4.4,34.4,50.3,10.4,33.9,"Manhattan","(40.738599087, -73.982511911)",40.738599087,-73.982511911
"57","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,20092010,79.1,157,1.9,32.5,3.8,31.2,55.4,8.9,36.3,"Manhattan","(40.738599087, -73.982511911)",40.738599087,-73.982511911
"58","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,20102011,78.3,157,9.6,35.7,2.5,32.5,56.1,8.9,41.4,"Manhattan","(40.738599087, -73.982511911)",40.738599087,-73.982511911
"59","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,20112012,66.9,174,8,32.2,1.7,32.2,59.2,6.3,42.5,"Manhattan","(40.738599087, -73.982511911)",40.738599087,-73.982511911
